step,timestamp,agent_name,tokens,cost_inr,load_number
4,2026-02-17T12:52:01.184645,Head_of_the_Department,4091,0.055217004289999996,1
8,2026-02-17T12:52:07.881627,EDA_Agent,3179,0.042907567009999995,1
13,2026-02-17T12:52:15.152963,Data_processing_unit,3432,0.046322356079999995,1
19,2026-02-17T12:52:24.828776,Data_processing_unit,3432,0.046322356079999995,2
25,2026-02-17T12:52:37.920039,Data_processing_unit,3432,0.046322356079999995,3
28,2026-02-17T12:53:11.991474,Data_processing_unit,3432,0.046322356079999995,4
32,2026-02-17T12:53:21.713076,Head_of_the_Department,4091,0.055217004289999996,2
35,2026-02-17T12:55:19.472894,Head_of_the_Department,4091,0.055217004289999996,3
38,2026-02-17T12:55:58.303679,Head_of_the_Department,4091,0.055217004289999996,4
43,2026-02-17T12:56:29.950008,TS_Agent,3526,0.04759109194,1
45,2026-02-17T12:56:31.341761,TS_Agent,3526,0.04759109194,2
47,2026-02-17T12:56:32.841435,TS_Agent,3526,0.04759109194,3
50,2026-02-17T12:56:37.724257,TS_Agent,3526,0.04759109194,4
53,2026-02-17T12:56:44.684409,TS_Agent,3526,0.04759109194,5
55,2026-02-17T12:56:46.378406,TS_Agent,3526,0.04759109194,6
57,2026-02-17T12:56:47.342229,TS_Agent,3526,0.04759109194,7
60,2026-02-17T12:57:27.668384,Head_of_the_Department,4091,0.055217004289999996,5
