agent_name,call_count,system_prompt_loads,system_prompt_tokens,conversation_input_tokens,conversation_output_tokens,total_input_tokens,total_output_tokens,total_tokens,tool_call_tokens,handoff_tokens,total_execution_time,system_prompt_cost_inr,conversation_cost_inr,total_cost_inr,tools_used,handoffs_made,success_count,error_count,success_rate
User,4,0,0,0,84,0,84,84,0,0,0.0,0.0,0.0045350592,0.0045350592,,,4,0,100.0
Head_of_the_Department,10,5,20455,17118,396,37573,396,37969,21,3,65.28438329696655,0.27608502144999997,0.25242446322,0.5285094846699999,"retrieve_workflow, transfer_to_eda_agent, transfer_to_data_processing_unit, retrieve_business_story, transfer_to_ts_agent","EDA_Agent, Data_processing_unit, TS_Agent",10,0,100.0
EDA_Agent,3,1,3179,5556,435,8735,435,9170,14,1,6.702716588973999,0.042907567009999995,0.09847551564,0.14138308265,"analyze_csv_data, transfer_to_head_of_the_department",Head_of_the_Department,3,0,100.0
Data_processing_unit,15,4,13728,27789,424,41517,424,41941,174,1,153.6865701675415,0.18528942431999998,0.39796466411,0.5832540884299999,"analyze_csv_data, execute_python_code, transfer_to_head_of_the_department",Head_of_the_Department,15,0,100.0
TS_Agent,11,7,24682,32806,1209,57488,1209,58697,65,1,42.9209246635437,0.33313764358,0.5080612743399999,0.84119891792,"execute_python_code_T, transfer_to_head_of_the_department",Head_of_the_Department,11,0,100.0
